EUR,SAS,AFR1,AFR2,EAS,id,population,Super population
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,99_1,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,99_2,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,99_4,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,98_1,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,98_2,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,98_4,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,98_3,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,98_5,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,97_2,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,97_1,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,97_4,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,97_3,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,96_1,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,96_2,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,96_3,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,96_4,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,95_1,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,95_2,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,95_4,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,95_3,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,94_1,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,94_2,SIB,SAS
1.00E-05,0.999953,1.70E-05,1.00E-05,1.00E-05,94_4,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,94_3,SIB,SAS
0.011646,0.988324,1.00E-05,1.00E-05,1.00E-05,93_2,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,93_3,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,93_4,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,92_1,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,92_5,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,92_2,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,92_3,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,92_4,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,91_1,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,91_2,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,91_3,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,91_4,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,90_1,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,90_2,SIB,SAS
0.00018,0.99979,1.00E-05,1.00E-05,1.00E-05,90_3,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,9_1,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,9_2,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,9_4,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,9_3,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,9_6,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,9_5,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,89_1,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,89_2,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,89_4,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,89_3,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,88_2,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,88_3,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,87_2,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,87_1,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,87_4,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,87_3,SIB,SAS
1.00E-05,0.999952,1.00E-05,1.80E-05,1.00E-05,86_6,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,86_5,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,86_1,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,86_2,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,86_4,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,86_3,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,85_1,SIB,SAS
1.00E-05,0.999959,1.10E-05,1.00E-05,1.00E-05,85_2,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,85_4,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,85_3,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,84_2,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,84_1,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,84_3,SIB,SAS
1.00E-05,0.999957,1.30E-05,1.00E-05,1.00E-05,83_1,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,83_2,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,83_3,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,82_2,SIB,SAS
1.00E-05,0.999957,1.30E-05,1.00E-05,1.00E-05,82_1,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,82_3,SIB,SAS
1.00E-05,0.942479,1.00E-05,1.00E-05,0.057491,81_1,SIB,SAS
1.00E-05,0.83376,1.00E-05,1.00E-05,0.16621,81_2,SIB,SAS
1.00E-05,0.913771,1.00E-05,1.00E-05,0.086199,81_3,SIB,SAS
1.00E-05,0.942823,1.00E-05,1.00E-05,0.057147,80_1,SIB,SAS
1.00E-05,0.833971,1.00E-05,1.00E-05,0.165999,80_2,SIB,SAS
1.00E-05,0.840635,1.00E-05,1.00E-05,0.159335,80_3,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,8_1,SIB,SAS
1.00E-05,0.999959,1.10E-05,1.00E-05,1.00E-05,8_2,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,8_6,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,8_5,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,8_4,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,8_3,SIB,SAS
1.10E-05,0.833883,1.00E-05,1.00E-05,0.166086,79_2,SIB,SAS
1.00E-05,0.942866,1.00E-05,1.00E-05,0.057104,79_1,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,78_2,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,78_1,SIB,SAS
0.004439,0.995531,1.00E-05,1.00E-05,1.00E-05,78_3,SIB,SAS
1.00E-05,0.99996,1.00E-05,1.00E-05,1.00E-05,77_2,SIB,SAS
