"ind","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","Population","population"
"SIB",0.033364,-0.0114158,-0.00740619,0.0139986,-0.0131645,0.0135356,0.0119137,-0.0101364,-0.0231346,-0.0141724,0.00645407,0.0159034,-0.0212119,-0.0212249,-0.0171375,-0.0010297,-0.0124051,-0.0133952,0.00123306,0.0171988,"SIB","SIB"
"SIB",0.0334122,-0.000759259,-0.00120736,-0.0107817,0.0219852,0.00368485,0.00905704,0.0280388,0.00643087,0.0193797,0.0199144,0.0340454,-0.00824776,-0.00596065,0.000298315,0.0188008,-0.00780489,0.0135258,0.00511199,-0.00357588,"SIB","SIB"
"SIB",0.0315812,0.00321525,0.00655367,0.0134836,0.00835051,0.0199225,0.0176318,0.0120177,-0.0114733,0.0132136,0.0260559,0.0314736,-0.00946731,-0.0161917,-0.00502426,0.0246809,-0.0180609,0.00149314,0.00238245,0.00990601,"SIB","SIB"
"SIB",0.0319986,-0.00109422,-0.0115254,0.0167046,0.0163862,0.0262727,0.00578434,0.0158423,0.0191877,0.00337534,0.0460785,0.0177103,0.0212519,0.0210942,-0.00995879,-0.0343577,0.0268998,0.0961896,-0.015329,-0.00860413,"SIB","SIB"
"SIB",0.0342163,-0.0108466,-0.00351232,0.0101875,0.0124673,0.0110943,0.00849533,-0.00704937,0.0447836,0.0145759,0.0784221,0.0521224,0.0199931,-0.00860007,0.0478736,-0.0376944,0.0463493,0.0673845,-0.011784,-0.00321631,"SIB","SIB"
"SIB",0.0321321,-0.00599963,0.00511732,0.00954494,0.0239287,0.0289036,0.0175533,0.0106137,0.0319682,0.027957,0.0668664,0.0450161,0.0231032,0.0171137,0.0359389,-0.0554872,0.0391699,0.125555,-0.0164546,-0.000480045,"SIB","SIB"
"SIB",0.0343597,-0.0041732,-0.0147831,0.00967726,0.0190599,0.014476,0.0087853,0.0129338,0.0408605,0.00920607,0.0597275,0.0372115,0.0188964,-0.00312895,0.0392271,-0.0404054,0.0379341,0.126624,-0.019254,-0.00876709,"SIB","SIB"
"SIB",0.0322492,-0.00640479,0.00505978,1.25811e-05,0.0202595,0.0265533,0.0144455,0.00564788,0.0469945,0.0320367,0.0646364,0.0479762,0.0208537,0.0136392,0.029166,-0.0529735,0.0287366,0.128843,-0.0126736,0.000590623,"SIB","SIB"
"SIB",0.033891,-0.00675829,-0.00903123,-0.00568152,0.0145539,0.0324127,0.00991672,-0.00682853,-0.034709,-0.0407473,-0.00964833,0.026912,-0.00385513,0.00983952,-0.0263376,0.0521924,0.0206429,-0.0554679,0.0275196,-0.0504874,"SIB","SIB"
"SIB",0.0300015,0.0121243,0.0235107,-0.0149593,-0.0137607,-0.00626744,-0.0201108,-0.00367671,-0.00316231,-0.0567206,0.035202,0.0150343,0.023227,0.00255333,-0.00491018,-0.000766254,0.0349741,-0.0267832,-0.00659993,-0.0483793,"SIB","SIB"
