"chromosome","position","matched_gene_name"
"chr1",782105,""
"chr1",799082,""
"chr1",833068,"LINC01128"
"chr1",841166,"LINC01128"
"chr1",911428,""
"chr1",965125,"KLHL17"
"chr1",1070426,"CASZ1"
"chr1",1086278,"C1orf159"
"chr1",1095185,"C1orf159"
"chr1",1113575,"C1orf159"
"chr1",1114570,"C1orf159"
"chr1",1125786,"MTOR"
"chr1",1129599,"UBIAD1"
"chr1",1130649,"LRIG2-DT"
"chr1",1155177,NA
"chr1",1171093,"DRAXIN"
"chr1",1184478,"TTLL10"
"chr1",1186414,"TTLL10"
"chr1",1199862,"DDX11L2"
"chr1",1217251,"DDX11L2"
"chr1",1220751,"DDX11L2"
"chr1",1222897,"DDX11L2"
"chr1",1227055,"DDX11L2"
"chr1",1228424,"DDX11L2"
"chr1",1241217,"DDX11L2"
"chr1",1257135,"DDX11L2"
"chr1",1259424,"DDX11L2"
"chr1",1266252,"DDX11L2"
"chr1",1275583,"DDX11L2"
"chr1",1275912,"DDX11L2"
"chr1",1284756,"DDX11L2"
"chr1",1294390,"DDX11L2"
"chr1",1304555,"DDX11L2"
"chr1",1306704,"DDX11L2"
"chr1",1370181,"DDX11L2"
"chr1",1399095,"DDX11L2"
"chr1",1421170,"DDX11L2"
"chr1",1431537,"DDX11L2"
"chr1",1464436,"KAZN"
"chr1",1482736,"KAZN"
"chr1",1490320,"KAZN"
"chr1",1511945,""
"chr1",1527386,""
"chr1",1542800,""
"chr1",1550604,""
"chr1",1551454,""
"chr1",1558347,""
"chr1",1562444,""
"chr1",1569875,""
"chr1",1573654,""
"chr1",1783572,"WASH7P"
"chr1",1791146,"WASH7P"
"chr1",1814287,"WASH7P"
"chr1",1849781,"WASH7P"
"chr1",1869595,"WASH7P"
"chr1",1878651,"WASH7P"
"chr1",1942186,"WASH7P"
"chr1",1956754,"WASH7P"
"chr1",1985148,"WASH7P"
"chr1",2003208,"WASH7P"
"chr1",2061309,"WASH7P"
"chr1",2074669,"WASH7P"
"chr1",2085858,"WASH7P"
"chr1",2092625,"WASH7P"
"chr1",2094922,"WASH7P"
"chr1",2101817,"WASH7P"
"chr1",2111641,"WASH7P"
"chr1",2138242,"WASH7P"
"chr1",2151050,"WASH7P"
"chr1",2151127,"WASH7P"
"chr1",2158087,"WASH7P"
"chr1",2165199,"WASH7P"
"chr1",2182126,"WASH7P"
"chr1",2194941,"WASH7P"
"chr1",2197209,"WASH7P"
"chr1",2215527,"WASH7P"
"chr1",2224430,"WASH7P"
"chr1",2242065,"WASH7P"
